Guild,Kills,Deaths,Fame
I Need Healing,3,6,394703
CCTV,12,14,3337489
A Brave Man,0,3,0
Forever Night,3,17,5214968
Gold Pigs,8,15,3696286
Future Party,8,9,1767878
AK-74,0,0,20396
Stellar Alliance,1,8,901527
NO-RE,27,10,4965058
Forever Night,2,9,1458000
Boar Army,27,61,8200074
Never Regret,16,10,2071870
First love,1,0,74196
Mika,0,4,0
Bretonnia,3,0,540494
Rest home,0,1,0
A Brave Man,0,9,263446
Crazybabys,3,4,107634
Forever Night,2,7,1562188
niubidian,10,4,375752
Meeting Stone,3,1,178052
PSC,0,4,434729
GOBLINS,44,27,20724140
Lucis Trust,0,3,0
Gold Pigs,1,2,211791
The Savior,1,2,858
CCTV,111,41,32838668
Forever Night,1,6,946764
The swallow,33,29,5460573
-,1,4,437693
PSC,1,9,2072452
FFF Group,0,0,8432
snow forest,34,16,8065184
Bretonnia,0,2,121603
Dragon-Mi,11,15,2439520
Dragon Blade,13,1,1775152
Forever Night,2,19,3241994
NO-RE,78,61,26294056
NULL,2,10,1041250
C O V Y,2,1,124259
Tree,0,9,1300653
China,0,1,523540
PLAC,120,23,30424346
CCTV,1,1,1356216
alibaba group,4,4,306079
Stellar Alliance,1,0,15329
Earn money,0,0,35226
-,0,5,204433
CCTV,0,1,0
Gungn1r,0,2,491024
GuGu GaGa,0,4,133498
M i n e c r a f t,3,2,354038
snow forest,513,278,110211039
ILLUSTRADO,1,0,21149
Lucis Trust,0,1,0
F R O Z E N,18,4,2931759
Dragon-Mi,0,0,250444
Mika,1,3,3063822
Tree Viper,13,13,1776055
Farm Or Die,8,2,243152
cocokala,0,0,18296
F R O Z E N,5,5,123242
Meeting Stone,14,22,4881481
Pink 7,4,10,923040
Kunlun Jade QingJing,2,0,297142
good bomb,10,10,13481647
All Rise,0,4,285157
C O V Y,0,9,26019
Lucis Trust,0,5,27035
-,0,1,0
Mamboo,2,9,387010
Sugar People Street,0,8,553072
Bretonnia,0,1,144752
ONE THREE,2,1,120523
Free Butterfly,2,1,127868
SO EZ,0,1,0
Circus,4,7,2144399
SO EZ,1,10,1910459
Forever Night,1,12,1833539
Tree,3,3,717687
Future Party,0,3,1076831
Tree,13,29,4693715
Future Party,1,8,1536806
Dragon-Mi,66,39,18379198
good bomb,35,9,18571026
PLAC,4,3,6450464
Dou bao,2,7,5240829
