Guild,Kills,Deaths,Fame
Mors Certa,98,74,8740386
LOS ESCLAVOS DE VALKI,25,19,6378053
OUTLAW5,306,233,78464398
N I G H T C A L L,465,355,203592186
N I G H T C A L L L,51,39,19669533
Bastardos_Sin_Gloria,30,23,3067193
Black Rose Creed,197,152,13892159
TRIVILINES,22,17,7404375
hadeslol effect,49,38,8899650
Die Hard Gaming,18,14,432246
FaIIen AngeIs,882,690,199197898
T-5,14,11,2648351
Mhaiky,19,15,1224126
light chaser,81,64,14078564
OSIIRIS,169,134,11382027
MINORIA,169,134,51354626
Gooners INC,34,27,3506275
I Dont-Know,59,47,8555031
Warlord Syndicate,194,155,27436972
BANK HCE ALE,5,4,41226
Dab Neeg,30,24,3575985
B4ll Br34k3r,5,4,223223
The Princess,5,4,1647406
Yihad,5,4,458345
DICOM,5,4,1274617
FollowersOfTheKing,5,4,97973
El jorobado y sus amigos,40,32,4036340
Monkey Gods,5,4,2389209
l HAVOC l,5,4,172658
Purple Moon Wolf,5,4,600608
Bryllanos,309,248,25845811
PRAG4,36,29,3341632
Last Bench,530,428,130093590
Upsida,172,139,71845847
Diddy Did,21,17,1559847
Make Albion Great Again,2872,2328,1134210149
Phantom Brigades,27,22,2626237
Mono Con Navaja,2295,1877,813363756
HCE ROYALTY,11,9,583466
HeIIheim,33,27,5629831
True Gentleman,918,752,111589647
Els Gats d Or,83,68,8519544
LOS ROMPEDISCOTEK,73,60,30169952
XIX SQUAD,17,14,2328656
l UNBROKEN l,17,14,3241345
CHEST LEGENDS,17,14,227022
MEVECH,190,158,77819613
Feel Good lnc,6,5,840464
solo Badon Mist,6,5,1198150
Beary Tales,6,5,674491
Albi0n-0nline,12,10,872459
Custodes Veritatis,18,15,1974219
Monkey Leaders,24,20,1794887
GREMIO PARA FLEXEAR ISLA,6,5,140679
Lovelyz,36,30,7273996
L0S TILINES FREEMAN,6,5,345489
MP THE BRINGERS OF DEATH,6,5,556944
UtopiaMX,6,5,680596
Ava Owl,30,25,1816757
Darkness INC,770,643,218656191
I Nothing I,1227,1025,319591720
End 0f Discussion,61,51,17147755
Sturmbringers,105,88,5356466
Cuys In The Clap,266,223,108856852
HEINSENBERG,19,16,1424612
Garrafuria,77,65,5304095
Rogue Natives,2652,2240,1023875311
Mythix,929,786,379732486
F A TU M,26,22,5641394
DPSZero,46,39,2590581
Un Monton de Gordas,361,307,21925397
NO HOLDING,612,521,189766361
UnEikonic,41,35,12867016
SixFigures,62,53,21653137
Les hommes de Sparte,62,53,3546767
SacredCreed,14,12,3749465
BLACK KGNITHS,21,18,1356452
LOS GUEVO GRANDE,7,6,508342
T H E T R U E P O W E R,14,12,663037
KALGARALAND,7,6,333543
S a n t y s,21,18,734895
Crazy Club,439,377,108009191
Vanilla Legion,206,177,6882873
NoFreeThinkers,2488,2144,910446807
IN MOR TAL,87,75,7271659
Hijos del Sol Ardiente,22,19,1996753
Spider Lines Number One,15,13,1194003
Right Nowz,417,362,54012444
TyrannT,1135,986,448784556
We Are Yakuza,504,438,45006775
BLACK TAPE,1287,1119,257191257
FINAL ELITE,70,61,18845343
Toxicity_Faction,86,75,5698843
ROKhan,183,160,52499927
NyxReign,8,7,306546
Watones On Your Back,8,7,640538
M A I,8,7,466418
CLTs de Bridgewatch,48,42,4203689
IM-DISASTER,32,28,2251036
Baofengyu,465,407,70365872
We Profit,816,715,293920394
CALOTE CLT,65,57,4018113
I REVENGE I,493,433,169126898
FOI FUMADO,75,66,7967396
Sea-Sky Fraternity,487,429,91259926
FulI Wipe,17,15,1237478
Arcosanti,768,681,207953138
Snow Specters,62,55,3968878
PRED4DOR,589,523,58893740
CAZA GANKER,125,111,13623013
La Guarida del Joker,233,207,47995393
Los tentculos,9,8,321561
PINWI -ARMY,27,24,2030652
AVENGERS_ASSEMBLE,9,8,826865
Fates Reign,27,24,4879176
Vuco-Vuco,9,8,2372344
Rohirrim Company,9,8,221652
Imperio I_N_K_A,9,8,1398136
L4 SECTA,56,50,5754389
Reignfall,85,76,9163140
Alpha Rats,201,180,19824655
PROYECTO-CORE,249,223,31687668
Livertiparty,39,35,1290488
The Jolly Rogerz,49,44,21749949
Phoenix Fury,119,107,8218134
A CASA DOS BRASILEIRINHOS,40,36,16363526
Rocapicha,10,9,840992
TDK,31,28,2846811
CLAP BACK,135,122,29388658
MushroomOverdose,52,47,1408705
S0LO-LEVELING,75,68,8431090
Be Silenced,520,474,146133429
O-U-T-L-A-N-D-E-R-S,12,11,711121
Plague VZ,12,11,1109054
Proyecto Nefalem,36,33,5765010
SIEVEN,12,11,847076
BLOODY-WARRIORS,248,228,24848362
Shoes Store,25,23,6545120
W 4 R G,195,180,24211393
S H I S H I G A N K,13,12,523786
Arroz Clan,320,296,11360467
Uxon Fortex,14,13,2568011
Amigos do Blackjack,14,13,2289653
Vulkanor,14,13,1868446
Llamas en Pijamas,14,13,1066844
CECOT,109,102,26240857
ETERNAL NIGHTS,99,93,9537506
Lar da Vaca,33,31,2009591
At Arayan Kelebekler,50,47,3601074
The Destruction Company,271,255,20641069
Blue LabeI,545,514,112151001
IMPERIO MAKUS,432,408,49073349
A N X X I E T Y,870,823,107383535
The Aegis Project,38,36,3198499
II E X I L I U M II,58,55,4264764
P O W A,39,37,2737207
I N S O L A T I O N,59,56,15091906
K PA MI XAN,20,19,570780
xX The Jokers Xx,1134,1078,369199836
Finis terra,61,58,4284150
DULUK,63,60,7171529
V4TOS LOCOS,1072,1024,295443742
T O R O S,90,86,6497649
EQP ODIO,47,45,2532109
Privileged Bomb,72,69,20748400
The Ghosts1,50,48,19873617
Fallen Sacrament,25,24,1934367
Guardia Nacional AO,26,25,1093053
B U R N I N,2747,2644,1164461808
zGameZ,141,136,20328314
Be Careful,750,725,201737296
Eternos del Abismo,30,29,2930132
Inspeccion de Billeteras,332,321,46876531
Druidae Umbrae,32,31,1750846
YOU ARE LOOT,1285,1245,134232094
X-Noxius-X,98,95,9895466
ABYSSUS X,136,132,47299525
Abyssal Hunt,35,34,3273444
shadow f1ends,108,105,8208582
Pocos Locos,109,106,10477648
Free Beer,581,566,196184214
Dreamfall,88,86,22437237
COMARCA HOBBITON,198,194,17300779
Silent Partners,51,50,5515186
OriginPoint,154,151,41171622
M O N A S T E R I O,360,353,76408194
A Gangue Trololo,157,154,11819459
Ignum,578,567,307547931
T R I F A R l X,320,315,44966778
Kong-Army,70,69,8255627
F U L L-C O U N T E R,724,715,245863326
SunOfGods,177,175,32599357
Divine Departure,141,140,11308565
M A N I A C,179,178,11533142
Taiko,396,394,42509056
Pieces Of Sheet,1,1,265328
LEVELEANDO SOLOS,13,13,577484
black dragon XD,1,1,95142
Nine Thunders,1,1,20606
BoiCetha,1,1,5396
Companhia 98,1,1,59210
Lilly Laboratory,1,1,520394
LEGION REZAGADOS,1,1,297026
Primatinha Mod,1,1,93058
1 tap,1,1,31368
D A R K L E G I O N XZ,10,10,363757
Morzhum,7,7,259848
LatinKarma,3,3,91002
Los Pachulines,2,2,5515
E X O T 1 C,3,3,188651
M E U D E U S,1,1,172663
Fimosity,17,17,1030024
