Player,Guild,Wins,Losses,Total,Winrate_%
Flaviosaludos,Curriculum Vitae,75,26,101,74.26
AlemanGOD,Curriculum Vitae,75,28,103,72.82
Andyxzzz,Who is Lobitos,75,51,126,59.52
ASSASINPYKE,PlVAS,74,23,97,76.29
GodSlayerMuerte,PlVAS,73,19,92,79.35
MuffinKriss,DARKM1GHT,73,19,92,79.35
Sharpieazul,Curriculum Vitae,73,23,96,76.04
FlamaMisteriosa,PlVAS,73,36,109,66.97
JtChris,Curriculum Vitae,73,37,110,66.36
Darnx102,AO University,73,61,134,54.48
Evilnatzu,BlackSm0ke,72,37,109,66.06
Obesitylol,Slammed,72,73,145,49.66
Pakirou,Curriculum Vitae,71,31,102,69.61
AnacondaDorada,Curriculum Vitae,71,35,106,66.98
PAPAPITUFANCY,Who is Lobitos,71,47,118,60.17
VIKINGO12888,Gankers LetaLes,71,114,185,38.38
Lop02,Curriculum Vitae,70,18,88,79.55
IBatataLoka,PlVAS,70,19,89,78.65
GodOfMidnight,PlVAS,70,20,90,77.78
Challengerenlol,Who is Lobitos,70,38,108,64.81
Sinfulangel,AO University,70,49,119,58.82
BuddyHobbs,AO University,70,69,139,50.36
JonasPedreiro,PlVAS,69,14,83,83.13
AnselmitoX,DARKM1GHT,69,18,87,79.31
Chulios,DARKM1GHT,69,21,90,76.67
AliciaQueen,PlVAS,69,24,93,74.19
BlakeSnow,Curriculum Vitae,69,31,100,69.0
Catssita,Who is Lobitos,69,42,111,62.16
Pacotorrear,Who is Lobitos,69,42,111,62.16
xMorrigann,Curriculum Vitae,68,14,82,82.93
Thelaxs,DARKM1GHT,68,24,92,73.91
HERCULONS,Who is Lobitos,68,51,119,57.14
paplopp,Who is Lobitos,68,52,120,56.67
Hawke13,PlVAS,67,20,87,77.01
EnelSama,PlVAS,67,22,89,75.28
AsadoTactico,Curriculum Vitae,67,24,91,73.63
xMrDeco,GELO E TECO,67,43,110,60.91
XiaoSaad,AO University,67,48,115,58.26
