Guild,Kills,Deaths,Fame
Doomsheep,0,1,0
S A Y G I,0,0,48237
Treasure Hunt,1,0,213572
gul gabut,0,5,28637
-,1,0,24053
Fading Echo,0,0,3673
Duab,1,2,42241
gul gabut,1,0,25047
-,0,1,2424
Arab Lions,1,4,11917
-,0,1,42834
Heralds of Valhalla,39,45,22708854
-,0,0,2661
DevilsCape,5,12,527542
Small Gang Theory,0,1,7940
One Tide,1,1,90044
BOMBERMAN,5,19,11743343
Skoggangr,0,1,430439
-,0,0,144906
-,0,0,18090
Shadow Garden Army,0,1,25996
Orden Hospitalaria,0,3,52386
B A N G,0,1,3896939
CHILL ROOM,0,0,31922
Ascension,0,1,180069
THEEStake,0,2,0
Golden Seekers,1,8,146464
Pratele Hranateho Stolu,0,1,0
Bingchilling,0,1,2306782
Fuego,0,4,379846
Burzyny,0,2,2777812
-,0,1,0
Arbiters,0,0,15566
Orden Hospitalaria,1,3,272772
BestattungsGmbH,6,12,1161351
Pentacle,2,4,53265
Noxus,5,3,97776
-,0,1,0
Mroczna Armia,0,1,0
DRAGON KINGs,0,1,0
Shattered Grace,3,8,453473
3 days of farm,0,0,2857
E H O T,20,13,4962695
Cappuccino Assassino,7,5,1252153
Frostborne,0,0,19434
Heralds of Valhalla,4,20,21989419
Syntax,0,0,56964
NIGIDI NAGO,1,10,2809969
B A N G,1,1,391740
orden S P A R T A,2,2,88732
Road to Exile,0,2,12438
-,0,2,0
D R A U G R,1,1,71232
Inglorious Bastrds,11,15,2050727
S A N I T Y,0,3,562368
T R I D E N T,24,29,11172906
SmoKings,3,5,124890
Ice Blood,0,1,0
Black Sentinels,19,30,5318735
-,0,0,41769
-,1,0,70533
Laughin Coffins,0,0,165297
Maly Gang,1,0,9100
-,0,1,2489
Genesis Kompany,2,4,299483
Ferrin,0,0,35045
opie go0pie,0,1,0
Sky Throne,0,0,3873
K F C,1,7,4053700
Eulenwacht,5,1,124542
KnightsOfCamelot,0,0,302624
Clean Kill,5,3,286552
HALUSINASYON,1,2,43986
M 1 S F I T S,16,4,3793297
Jhereg,0,1,61675
Blood And Tears,37,30,7133134
Legio Potens,0,8,363396
Ping My Enemy,0,1,0
No Brain,0,1,33930
CoffeeTime,0,1,25340
Lost Shadows,0,1,36975
Casualty,2,1,11177
tower of word,0,1,15899
PORTAELVCIS,2,0,11881
-,0,1,0
Sky Throne,2,1,16994
WarTag UA,0,2,198208
-,0,0,76076
DIABLOS NEGROS,0,3,90810
BloodStriders,0,1,20990
Make Turks Great Again,0,1,297498
-,0,0,1345
Awe Of She,1,3,114535
FEYZ,0,1,0
Lock Down,3,10,365735
A K U M A,3,5,1484629
Expedition 60,8,20,4594057
Clean Kill,0,2,4410
BonSaissx,1,2,135808
THE GAME,1,1,8215
Clean Kill,41,24,17170572
Almas Agrias,2,4,63944
StarGateX,4,13,1567103
Alpagut TR,7,3,1783740
TheOrder,0,1,62453
Ferrin,4,3,254710
Burzyny,2,14,5896931
UNH0LY,0,1,348337
StarGateX,0,2,110077
-,0,1,0
GAGARAGOGO,1,2,183822
DigHAUHAU1000,20,10,9476233
gul gabut,2,11,194883
-,0,1,2323
Movimento Liberazione Albilon,0,11,97655
Killer Trolls,1,1,91074
Royal Clowns,3,3,110489
Blackorchid,0,0,25218
Vikings,0,4,7575
Storm Reign,0,4,9816
League of Victory,1,1,149736
Scourge of GOD,0,2,644840
Treasure Map,0,2,0
-,1,2,108577
Anatolian Rebels,3,0,182887
-,0,1,53819
S E N G O K U,0,1,0
Bingchilling,21,4,3498570
Fuego,4,4,1049715
Burzyny,17,7,3783449
WHY NOT,26,7,4236283
Pay2Cry,1,2,35578
-,0,1,33962
Fuego,0,2,0
Shattered Grace,0,1,0
-,0,0,27253
Vikings,0,1,0
Swords Drawn,0,1,0
Jungle Outlaws,1,1,1460413
BLADE2FACE,1,1,20753
Heralds of Valhalla,23,12,4788878
Throwing,9,2,1109176
Purity,2,11,3187660
Kurd Boys,2,1,102326
-,1,1,57331
We Care 4u,0,0,5923
ClownsEXE,3,1,163740
Camel Riders,1,1,276610
EU Federation,2,5,272834
Vongola-Family,3,1,768611
-,0,1,0
ALICUECANO,1,0,48835
Rise of the Kingdom,0,3,134507
Mroczna Armia,8,12,521746
TrustBound,0,3,78671
-,1,0,22708
Cult of the Simp,0,2,0
-,0,1,0
E L I T E,18,8,1396772
Pure Crimson,0,3,0
Critical,34,7,7438836
HEREDEROS LEGACY,1,0,735272
Orden Hospitalaria,0,1,0
THE BEARS TAVERN,0,1,28760
M 1 S F I T S,1,2,667882
FAMILIA ES TODO,0,1,0
-,1,0,8304
Anchored,26,14,3492366
S A Y G I,0,1,22516
-,0,1,0
ALL IN GAMBIT,1,4,1344895
Silent War,3,1,200345
-,0,4,8018
Hit and Run,1,2,481027
Treasure Hunt,0,1,9425
AWHAM,1,6,91411
-,0,1,26633
Alpha Counquers,0,0,18036
-,0,1,35263
Pyramid Scheme,4,35,16055427
BestattungsGmbH,0,9,1092828
E L I T E,7,8,2949203
YANGE,18,17,4408517
LET IT HAPP3N,0,1,0
-,0,1,0
I M P E R I V M,1,1,31046
xWolves,0,10,144119
Inglorious Bastrds,2,3,84526
Damnificatia,0,7,30805
-,0,2,0
Hikari,0,0,15808
4CB,0,2,49877
BACKSTAB CO,0,0,5555
GOLDEN FAX,0,0,135067
Almas Agrias,2,11,361852
-,0,2,275156
-,1,4,6569
CRISGUN,0,1,0
-,0,2,11113
MrocznaPokusa,1,2,98721
-,0,1,0
Shattered Grace,1,1,127613
-,0,2,0
3 days of farm,1,0,309078
Purity,17,10,7931392
F-A-T-A-L-I-T-Y,0,1,37427
Skoggangr,8,26,9066205
Vendetta,9,8,1546834
DRAG0NS,0,1,0
Bo Gezenler,2,2,147291
Latitante,0,3,1042
S I X,1,9,2125200
Y O I N K,6,18,7267783
Black Legion,30,23,2545964
Utopia,1,14,1795114
Black Sentinels,6,19,4037112
LDK-ORDINAS,0,2,81030
HeadButt,85,16,10013517
HeadButt,117,25,20233691
Treasure Hunt,0,2,585147
-,0,0,6961
Dark Restaurant,0,1,0
Nebukadnezar,0,1,19858
The Hypersonic,9,17,12723015
Vendetta,1,0,33059
KillJoys,20,21,2329114
Over Gear,0,7,118591
GROK,0,0,23699
-,0,1,3304
Impalers,1,6,167929
S A Y G I,0,1,0
Gachi Gatherers,0,1,0
Tous Ensemble,5,9,3171662
Scourge of GOD,9,9,932194
CRISGUN,0,0,261471
Polska Gildia,0,2,600237
Vasil-Iliev-Security,0,1,37602
Y O I N K,0,2,307324
Suicid3 Squad,0,1,39449
-,0,2,27976
Kal Vas Flam,0,0,22713
Turquoise,1,1,164049
-,0,6,37136
Squirtle Squad,20,10,4571423
-,0,1,0
THE BEARS TAVERN,0,0,10717
Gayzer Pool,2,12,652059
I-Midnight-I,1,9,26795
-,2,2,163473
-,1,4,43072
s t e p b a c k,12,3,1531733
Clean Kill,7,6,303550
Panico,1,1,276406
-,0,4,31754
Squirtle Squad,47,46,31327278
The beggers,0,3,3295
The Hundred,0,0,66597
Expedition 60,1,5,447464
EQMS,1,8,1522446
KAFIR,0,1,0
Make balance great again,2,4,671322
Thetford Social Club,0,1,13728
-,1,0,219901
HOG HOG,1,2,750281
Slappers,0,11,576847
-,0,1,0
BDU,2,3,573369
Over Gear,0,0,7381
V I P,3,1,527734
Win Order,33,25,16923955
S I X,1,6,2334646
No Brain,2,6,507994
MtR-121,1,1,87976
EWENEMENT,0,1,60632
XXX,2,0,1955163
-,0,1,0
-,0,1,15496
Wrong Turn,0,1,1794
