Guild,Kills,Deaths,Fame
LET IT HAPP3N,0,0,22050
I M P E R I V M,2,1,34686
NoRules,4,3,262947
M 1 S F I T S,0,6,398445
TR KIZIL ELMA,0,1,24934
-,0,0,14265
MISS CLICK,0,0,11449
-,1,6,77131
Crown and Sword,2,1,76549
-,0,1,102200
xWolves,0,6,22135
Inglorious Bastrds,2,1,489635
-,0,1,7526
Pixel Sword,0,1,95912
-,0,1,16582
Pure Crimson,0,16,895202
Ethereal,0,0,21358
DeaI OR DIE,11,37,1580933
Shattered Grace,3,4,58130
Deal or Die,6,3,859361
PSA,11,31,919857
-,0,1,0
Purity,34,17,14631648
F-A-T-A-L-I-T-Y,1,0,71444
Skoggangr,3,19,7021411
Vendetta,2,13,969485
7 R B,0,0,11291
Bo Gezenler,3,1,143979
Latitante,0,1,383817
S I X,1,7,1928609
Y O I N K,6,27,11621430
Black Legion,3,5,638963
Utopia,1,3,211195
Black Sentinels,12,19,4300402
Shattered Grace,11,9,202114
LDK-ORDINAS,0,1,38108
SURRENDER,23,3,2036395
HeadButt,35,4,4019107
-,0,2,68656
HeadButt,49,11,6808551
SURRENDER,6,11,6097393
Skrzynkobiorcy z Prowizja,3,3,938374
