Guild,Kills,Deaths,Fame
PMC_ALBION,41,107,1774068
T R I B E,67,96,6381189
Geo_NEW,26,84,3364850
Pasok,40,44,2859865
Dungeon Slayers,37,85,2925610
La Meute du Crepuscule,17,69,2106762
No Cape No Shame,71,73,6299672
1DEUS_VULT1,28,69,3557209
Unknown Entity,40,76,5108734
Bulbasaur Band,27,69,11844940
Eikon,48,30,28373571
Dynastia Egiptu,30,58,2072421
TEAM SUPREMACY,65,27,24404737
Enemy Syndicate,63,106,8072414
LEGI0 INVICTA,20,68,2604438
Straw Hat Pirates,34,56,3099386
New Force,59,91,2618391
Obsidian Dawn,27,65,9667911
Nordheim,36,80,7611039
Lusos,153,26,4981410
Guinness Draught,74,79,4858019
B_E_A_R_S,45,79,2283033
Warownia,13,48,2971883
The Panic Button,14,93,1871422
KOCA YORUK,39,58,2789941
Chaos Terror,32,95,7077215
Ahoj,35,79,2890320
EL COLMILLO 23,7,57,1698192
Kebab Team,48,58,4993601
Fight Club,59,68,11432618
Einherjiarr,31,81,1968485
Requiem Aeternam,57,121,3915406
League of Victory,21,80,1738279
Empire of Hell,12,93,1549573
F I S T,116,52,9230019
Dark wolves,72,67,7865693
Ferrin,22,92,1792293
revelationss,33,69,1576708
Mrowisko,65,63,5240278
AQUAMARINE,54,103,4759570
BTBF,44,70,5701770
Noobs With Attitude,2,15,4656236
Sparks and Ashes,56,55,2529454
Being as an ocean,36,68,2997848
TSUNAMMI,64,58,3579487
Valhalla,11,28,3773776
Al andalus,24,72,2967322
G2H,14,67,2015644
SoulEater,55,27,4202026
Fates Keepers,23,56,6282624
BeBeBus,16,69,1519940
Rat Cartel,100,51,13854141
Los payasos justicieros,41,43,3660219
3rb,32,30,2997417
Storm Reign,25,57,2449722
The Freedom Trail,46,49,7741166
Le Clan Destin,48,73,3244169
STRATOS,29,69,2697864
RASTREATORS,80,136,2538788
Golden Seekers,8,74,821638
APOTEKA,48,49,11078820
Googly Moogly,64,71,5523290
Suicid3 Squad,41,65,3070797
SKy1ine,23,99,1979460
CALLIDUS,57,76,5702299
Foedus Ultimum,40,58,2584571
Herederos del Vicio,18,53,1648813
Helpful Fairies,14,60,1904363
DLUGOLEKA,53,32,20573616
REKKA,42,96,6856589
The Dungeoneers,9,54,1475816
Entity,23,58,5420417
Roots of Nature,12,67,1535424
Boys dont cry,57,46,3860330
BLADE2FACE,38,74,3171300
Shadow_Raiders,23,78,1761449
CRASHBOYS,108,33,7557963
HI IAM MVP,59,81,3686833
Kupechestvo,33,70,3055828
Redskulls,76,38,3953064
Dragon King,17,59,2270080
long-men,19,41,12812843
I TITANI,11,43,1272886
Templari,40,78,2170875
Solary,68,9,3885085
BloodSong,11,58,1119566
Peepe,18,57,5402966
Asteriya,10,68,1420341
