Guild,win,loss,Total,Winrate (%)
BoiCetha,2,2,4,50.0
Boletos e Espadas,0,4,4,0.0
Bolinho City,1,1,2,50.0
Bomb Down,8,11,19,42.1
Bomb Game Over,1,0,1,100.0
Bomb Tapitas Squad,6,6,12,50.0
Bomb and Brawl,131,151,282,46.5
Bonde_d0s_Coletores,3,2,5,60.0
Bongs Of Justice,0,1,1,0.0
Booty Boppers,50,74,124,40.3
Boreal trade,0,3,3,0.0
Born To D1e,51,76,127,40.2
Bosque oculto,0,1,1,0.0
Bountry Hunters,0,1,1,0.0
Boward Evercuz,0,2,2,0.0
Bozominions,0,1,1,0.0
Bragas Crystal,1,0,1,100.0
Brain not Found,14,30,44,31.8
Branch Order Of Malefic Viper,0,1,1,0.0
Branlo17,2,1,3,66.7
Brasil Wars,0,1,1,0.0
Brasil imperio,2,11,13,15.4
Bread Addicts,22,21,43,51.2
Bridgewatch 137,0,4,4,0.0
Bridgewatch Bubarians,1,4,5,20.0
Bridgewatch Monkeys,6,11,17,35.3
Bridgewatch United NA,2,2,4,50.0
Briga de boteco,0,1,1,0.0
Brigada Fantazma,1,6,7,14.3
BrigadaFantasma,7,29,36,19.4
Bring ur Money,16,38,54,29.6
Bro Nation,6,0,6,100.0
Bro13,0,4,4,0.0
Brokenhorn,1,0,1,100.0
Broncusos,0,1,1,0.0
Brood of the Obsidian Flame,0,1,1,0.0
Broski and Broski,1,1,2,50.0
Brotheragem,0,1,1,0.0
Brotherhood Fallen Order,2,14,16,12.5
Brotherhood of Eternity,0,12,12,0.0
Brothers of Shadows,1,5,6,16.7
Brothers of War BR,0,3,3,0.0
Bruniche,0,1,1,0.0
Bryllanos,63,79,142,44.4
Buckfutter Strip Mining Co,0,4,4,0.0
BuffaloBills,0,5,5,0.0
Bugz is Rotund,1,3,4,25.0
Bulldog Legions,2,3,5,40.0
Bullet Knife,5,2,7,71.4
Bullets Company,0,2,2,0.0
Bullskull,1,11,12,8.3
Bunch of Rats,92,98,190,48.4
Burkem Brook,0,1,1,0.0
Burlok502,0,7,7,0.0
Busking Beggars,0,1,1,0.0
Bussy Boppers,0,1,1,0.0
Butt Buster,0,1,1,0.0
C 4,5,25,30,16.7
C A L F,0,1,1,0.0
C A L L E J E R O S,10,11,21,47.6
C A M B A D A,6,30,36,16.7
C A R I B E S,0,3,3,0.0
C A R N I F I C I N A,2,5,7,28.6
C A S T L E V A N I A,3,7,10,30.0
C A V A L I E R s,0,1,1,0.0
C H E C K,1,1,2,50.0
C I R C U S,110,61,171,64.3
C O L 4 P S O,29,38,67,43.3
C O N F L I C T I V O S,9,14,23,39.1
C O V E N N A N T,18,21,39,46.2
C R 0 W S,2,11,13,15.4
C R I M E N,5,31,36,13.9
C T,0,1,1,0.0
C-esT La MorT,7,19,26,26.9
C00KING,2,2,4,50.0
C0C0R1C0,0,1,1,0.0
C0RRUPTED ARMY,1,0,1,100.0
C0ringas,0,1,1,0.0
C4 Gang For Life,2,2,4,50.0
C4saTargaryen,1,7,8,12.5
CABALLEROS DE AMARU,0,1,1,0.0
CABALLEROS DEL GRAN ARBOL,5,23,28,17.9
CABALLEROS FORJA DEL CIELO,0,9,9,0.0
CABALLEROS_DE_LA_LUZ,3,11,14,21.4
CACHORR0S,0,2,2,0.0
CAIFANES,1,1,2,50.0
CALCINHA DE RENDA,17,56,73,23.3
CALOTE CLT,37,74,111,33.3
CAMACHI,0,2,2,0.0
CAMINHO DOS EXILADOS,1,5,6,16.7
