Guild,win,loss,Total,Winrate (%)
C 4 N C 3 R,0,1,1,0.0
C A L L E J E R O S,16,13,29,55.2
C A M B A D A,18,53,71,25.4
C A R N I F I C I N A,1,2,3,33.3
C A S T L E V A N I A,6,14,20,30.0
C A T A C L I S M,0,2,2,0.0
C A V A L I E R s,4,33,37,10.8
C E R B 3 R U S,9,1,10,90.0
C H E C K,1,0,1,100.0
C H E R O S,2,0,2,100.0
C I R C U S,54,48,102,52.9
C O L E T O R E S BR,2,14,16,12.5
C O N F L I C T I V O S,5,16,21,23.8
C O N T A C T O,2,2,4,50.0
C R I M E N,14,48,62,22.6
C o n g o,5,3,8,62.5
C-esT La MorT,11,51,62,17.7
C0C0R1C0,2,10,12,16.7
C4 Gang For Life,26,23,49,53.1
C4rpe D1em,1,0,1,100.0
CABALLEROS DE NEBULA,0,1,1,0.0
CABALLEROS DEL GRAN ARBOL,2,10,12,16.7
CABALLEROS FORJA DEL CIELO,0,1,1,0.0
CABALLEROS Z,0,1,1,0.0
CABALLEROS_DEL_LAG,1,3,4,25.0
CABALLEROS_DE_LA_LUZ,0,2,2,0.0
CACHORR0S,3,2,5,60.0
CAFE COM PVE,0,2,2,0.0
CAIDA DE LA CORONA,0,1,1,0.0
CAIFANES,0,1,1,0.0
CALCINHA DE RENDA,16,30,46,34.8
CALIBER 50,1,0,1,100.0
CALL-ATE,0,1,1,0.0
CALOTE CLT,15,20,35,42.9
CAMINO Y SANGRE,1,1,2,50.0
CAOS FENIX,0,2,2,0.0
CAOTICA,12,23,35,34.3
CAPIBARA GANK,0,11,11,0.0
CAPYBARA TEAM,1,3,4,25.0
CARAMELITO ARMY,6,2,8,75.0
CARIBES,0,2,2,0.0
CARISMA-CLAN,11,57,68,16.2
CARMILLA,0,1,1,0.0
CARNARIUM,3,3,6,50.0
CASTIEL,0,1,1,0.0
CASUAL SOLO,0,1,1,0.0
CAT-CH,23,55,78,29.5
CAZA GANKER,56,65,121,46.3
CAZAD0R3S,0,1,1,0.0
CAZADORES_DE_MAZMORRAS,1,0,1,100.0
CAZADRAGONES,0,2,2,0.0
CCompany,0,1,1,0.0
CECOT,31,46,77,40.3
CEIFADORES-DA-ALVORADA,15,26,41,36.6
CEIFEIROS de BRIDGWATCH,4,17,21,19.0
CELESTYALS,0,1,1,0.0
CENTINELAS DEL SOL,0,1,1,0.0
CHAOSFORCE,0,1,1,0.0
CHAPADOS E PERIGOSOS,0,1,1,0.0
CHAPEU -DE -PALHA--BR,0,6,6,0.0
CHATOS,0,4,4,0.0
CHEEKZ,34,58,92,37.0
CHEST LEGENDS,4,3,7,57.1
CHOLOS,0,1,1,0.0
CHROMAKOPIA,0,1,1,0.0
CIERVOS DORADOS,0,2,2,0.0
CLAN DE LA ORDEN,2,6,8,25.0
CLANDESTINADOS B370,0,2,2,0.0
CLAP BACK,54,46,100,54.0
CLASSIC BR,2,6,8,25.0
CLAYMORE COMPANY,0,2,2,0.0
CLN SexyLove,0,1,1,0.0
CLOSTER,1,0,1,100.0
CLT Guardians,0,1,1,0.0
CLT PROMAX,0,1,1,0.0
CLThanos,0,6,6,0.0
CLTs ALBION,0,1,1,0.0
CLTs de Bridgewatch,19,30,49,38.8
CLUB - S P A C E,2,1,3,66.7
CLUB_EPST3IN,0,1,1,0.0
CNNG,0,2,2,0.0
CNPJ 01,1,2,3,33.3
COFFE BR,0,3,3,0.0
COHORTE ESCARLATA,0,2,2,0.0
COLMILLO CELESTIAL,0,2,2,0.0
COLMILLO DE PLATA,0,3,3,0.0
COMARCA HOBBITON,64,92,156,41.0
COMQNDO-LTM,0,2,2,0.0
CONEXOES,1,2,3,33.3
CONFRACTUS,0,3,3,0.0
CORACAO DE DRAGAO,0,4,4,0.0
COROA NEGRA,1,11,12,8.3
CORRUPT0S,0,2,2,0.0
CORTE CELESTIAL,7,22,29,24.1
COSAA NOSTRAA,1,2,3,33.3
COSOs,0,2,2,0.0
CR FLAMENGO,1,2,3,33.3
CRAFT DE PRATA,0,2,2,0.0
CRAFT PROFICIONAL,2,3,5,40.0
CRAZY MERCENARYS,0,1,1,0.0
CRD1404,2,2,4,50.0
CRIAS DO VAZIO,0,2,2,0.0
CRIMSAN DAGGER,0,2,2,0.0
CRIMSON C0VENANT,3,26,29,10.3
