Guild,win,loss,Total,Winrate (%)
CTPAX,0,24,24,0.0
CTPAXA-HET,5,5,10,50.0
CUCKLORDS,5,10,15,33.3
CUM on Gankers Lips,40,34,74,54.1
CUM_SHOT,0,1,1,0.0
CZARNE CHMURY PL,2,14,16,12.5
Ca974Dalon,1,4,5,20.0
CaSpErBlAcK,0,16,16,0.0
CactusJack,3,4,7,42.9
Caerleon Bootleg Co,1,1,2,50.0
Caja Rural,1,1,2,50.0
Cali nr 1,0,1,1,0.0
Calm Trading Company,1,0,1,100.0
Camelott,0,3,3,0.0
Camypau,0,1,1,0.0
Canibals,3,18,21,14.3
Cape Dancers,83,102,185,44.9
CapiMastri,6,13,19,31.6
Capibara,32,45,77,41.6
Capitaliste,0,2,2,0.0
Cappuccino Assassino,27,74,101,26.7
Carapau Squad,35,10,45,77.8
CarbonMonoxide,1,3,4,25.0
Caribka,0,1,1,0.0
Carleon Blood Contract,40,31,71,56.3
Carleon Killers,0,2,2,0.0
Carleon squad,8,6,14,57.1
Carnage Incarnate,9,7,16,56.2
Carnival of Fun,1,0,1,100.0
Carpet Ninjas,8,27,35,22.9
Carry Me,0,4,4,0.0
Cartoon cat,0,1,1,0.0
Casa Negra,1,0,1,100.0
Cast Aways,7,14,21,33.3
Casterly Rock,0,1,1,0.0
CastleBlack,2,3,5,40.0
Catgdom,1,6,7,14.3
Catharsis,1,0,1,100.0
Catnip_Tea_Party,9,6,15,60.0
CattelloLor,0,1,1,0.0
Cazadore,0,1,1,0.0
Celestial Emperia,0,3,3,0.0
Celik Bilek,0,4,4,0.0
Celtic,1,27,28,3.6
Cenetten Kovulanlar,0,1,1,0.0
Centaurus Proxima,1,3,4,25.0
Chafing The Nightmare,3,1,4,75.0
Chagatai,1,1,2,50.0
Chai for you,0,3,3,0.0
Challenge,0,1,1,0.0
Champ,5,10,15,33.3
Champions of Elysium,7,7,14,50.0
Chance,1,3,4,25.0
