Guild,win,loss,Total,Winrate (%)
CHUB,8,20,28,28.6
CHVK-FORT,3,2,5,60.0
CIRCUS EMPIRE,0,1,1,0.0
CK_KPSS,0,2,2,0.0
CLOUD_KNIGHTS,0,1,1,0.0
CLWN,1,20,21,4.8
CMEMCb,0,1,1,0.0
CN DRAGON,0,2,2,0.0
CNL,0,1,1,0.0
CO-CK RIDERS,0,3,3,0.0
CO6A4KA-PARTY,0,1,1,0.0
COCOA_fm,3,26,29,10.3
CONK BAYIRI,1,1,2,50.0
CONTEX,14,8,22,63.6
CORTEXIPHAN,0,1,1,0.0
COSA-NOSTRA,1,0,1,100.0
COSMOTE,18,28,46,39.1
CP Gooners,0,2,2,0.0
CPU,2,6,8,25.0
CRAFT and FARMS,0,1,1,0.0
CRASHBOYS,2,3,5,40.0
CRAZZYMAKSYOUTUBE,0,5,5,0.0
CRDxCLUB,0,1,1,0.0
CRISGUN,38,92,130,29.2
CRISTAL LEAGUE,0,1,1,0.0
CRU,0,3,3,0.0
CRYHARDER,6,14,20,30.0
