Player,Guild,Wins,Losses,Total,Winrate_%
Phear,Savants,43,36,79,54.43
Igrill,Unbound,43,37,80,53.75
ViRiDi,Syntax,43,37,80,53.75
Exaz,Skoggangr,43,40,83,51.81
Gostin,KillJoys,43,41,84,51.19
3abota3,The Jackals,43,43,86,50.0
Markrade,Panico,43,43,86,50.0
Mira,Saggin,43,43,86,50.0
MistyEntity,KillJoys,43,44,87,49.43
NestorPL,Polska Gildia,43,44,87,49.43
BOOMBAAa,Scourge of GOD,43,45,88,48.86
VVojak,Polska Gildia,43,45,88,48.86
Dianabolic,SHIV,43,48,91,47.25
Fhzp,Woof Woof,43,48,91,47.25
Weiyue,Squirtle Squad,43,48,91,47.25
Arnelas,Expedition 60,43,50,93,46.24
Farloophero,Expedition 60,43,52,95,45.26
Jadan,EQMS,43,52,95,45.26
DoubleVB,Squirtle Squad,43,53,96,44.79
LordMoist,Skoggangr,43,56,99,43.43
NIKO,Woof Woof,43,56,99,43.43
Arturkiray,Skoggangr,43,66,109,39.45
EntityFramework,Woof Woof,43,68,111,38.74
OnlyDawn,Saggin,43,71,114,37.72
Fyynx,Ascension,43,74,117,36.75
Itay,Heralds of Valhalla,42,18,60,70.0
ArchangelMVP,Heralds of Valhalla,42,21,63,66.67
ProstoGG,Heralds of Valhalla,42,22,64,65.62
KingWhite,Contingent,42,24,66,63.64
ElinaMvP,S I X,42,27,69,60.87
Mang0g0,Contingent,42,27,69,60.87
Lillity1,S I X,42,28,70,60.0
Samir18eme,Y O I N K,42,28,70,60.0
Kakaeri,Papaoutai,42,29,71,59.15
MercyKiller,Unbound,42,31,73,57.53
RoadToMas,Contingent,42,31,73,57.53
Savvyxs,Contingent,42,31,73,57.53
IVENOMI,Contingent,42,33,75,56.0
Lanfir,E H O T,42,33,75,56.0
VABC8,The Jackals,42,36,78,53.85
Tyrtol,Contingent,42,37,79,53.16
Kalido,Saggin,42,38,80,52.5
miniGobbo,Skoggangr,42,38,80,52.5
Azawakh,Woof Woof,42,40,82,51.22
XX69XX420,Unbound,42,41,83,50.6
Pan1ake,Unbound,42,43,85,49.41
DenhiG,KillJoys,42,44,86,48.84
Sullffuuuu,Skoggangr,42,46,88,47.73
DerKoche,Y O I N K,42,47,89,47.19
runtheblock,Pyramid Scheme,42,47,89,47.19
Cociane,Saggin,42,48,90,46.67
KrulJulian,Woof Woof,42,48,90,46.67
Davide17,Panico,42,49,91,46.15
Immortal,S A N I T Y,42,49,91,46.15
Linquar,Woof Woof,42,49,91,46.15
VOODPLegenda,T R I D E N T,42,57,99,42.42
Sonnino,Saggin,42,59,101,41.58
ChopperChef,s t e p b a c k,42,65,107,39.25
ShoogZ,Lemon Girls,42,65,107,39.25
GLadiusDiaboli,Woof Woof,42,66,108,38.89
SeIekcioner,Antipositive,42,67,109,38.53
Mogosu,SHIV,42,81,123,34.15
sidalin,Heralds of Valhalla,41,15,56,73.21
Voron200929,Heralds of Valhalla,41,16,57,71.93
Exile,Papaoutai,41,18,59,69.49
Kotletymba,Heralds of Valhalla,41,18,59,69.49
LaboringWolf,Saggin,41,21,62,66.13
Muccmep,Heralds of Valhalla,41,21,62,66.13
Gremyt,Papaoutai,41,23,64,64.06
TYLENIVOD,Papaoutai,41,23,64,64.06
wedyzza,Papaoutai,41,23,64,64.06
DRZ1CLA,Y O I N K,41,24,65,63.08
yaru3131,Heralds of Valhalla,41,24,65,63.08
0IL,E H O T,41,28,69,59.42
utkubabba,Scourge of GOD,41,28,69,59.42
Fishday0,Y O I N K,41,31,72,56.94
Thurtilla,Road to Exile,41,31,72,56.94
EpicSK,B A N G,41,32,73,56.16
sTupask,Cow field,41,33,74,55.41
scytheEU,Saggin,41,34,75,54.67
Tsst,Unbound,41,37,78,52.56
Jaresca,Skoggangr,41,38,79,51.9
SinkShifter,Right Side,41,39,80,51.25
TonyeSousou,Panico,41,39,80,51.25
xXxMortredxXx,Heralds of Valhalla,41,40,81,50.62
KANCIK,Woof Woof,41,41,82,50.0
Clix,Woof Woof,41,42,83,49.4
HenryMagic,Woof Woof,41,42,83,49.4
Symphony,Contingent,41,42,83,49.4
XerXesJESUS,Woof Woof,41,43,84,48.81
DEKKI,Skoggangr,41,47,88,46.59
